seconds;microseconds;left_x;right_x;groundsteering;
1584543155;230154;165;-1;0.0659773;
1584543155;424526;169;-1;0.0239958;
1584543155;524320;170;487;-0;
1584543155;625483;170;-1;-0;
1584543155;726937;133;-1;-0;
1584543155;824256;154;533;-0;
1584543155;924467;115;547;-0;
1584543156;27088;118;550;-0;
1584543156;124496;107;591;-0;
1584543156;226583;99;612;-0;
1584543156;324612;71;641;-0;
1584543156;425245;35;-1;-0;
1584543156;524355;-1;-1;-0;
1584543156;624896;-1;-1;-0;
1584543156;726057;199;-1;-0;
1584543156;827240;-1;520;-0;
1584543156;924110;182;536;-0;
1584543157;24046;174;557;-0;
1584543157;124190;171;581;-0;
1584543157;225964;131;614;-0;
1584543157;323968;83;657;-0;
1584543157;424131;95;-1;-0;
1584543157;523936;50;-1;-0;
1584543157;624792;195;580;-0;
1584543157;726186;247;607;-0;
1584543157;823950;240;634;-0;
1584543157;923955;238;660;-0;
1584543158;24150;115;-1;-0;
1584543158;123962;82;-1;-0.0329798;
1584543158;225965;15;-1;-0.0809625;
1584543158;324029;185;-1;-0.0809625;
1584543158;423960;158;-1;-0.0809625;
1584543158;523887;94;-1;-0.0809625;
1584543158;625049;338;-1;-0.0809625;
1584543158;725863;309;-1;-0.0809625;
1584543158;823937;111;-1;-0.0809625;
1584543158;923935;261;-1;-0.0809625;
1584543159;23732;272;-1;-0.0809625;
1584543159;123900;271;-1;-0.0809625;
1584543159;226086;252;-1;-0.0809625;
1584543159;323608;236;-1;-0.0779708;
1584543159;424094;352;-1;-0.0809625;
1584543159;523941;368;-1;-0.0809625;
1584543159;624597;97;-1;-0.0899643;
1584543159;725498;17;-1;-0.0899643;
1584543159;823916;432;-1;-0.0929649;
1584543159;923893;249;-1;-0.0989571;
1584543160;23702;199;-1;-0.0989571;
1584543160;123880;120;-1;-0.113951;
1584543160;225528;16;-1;-0.152941;
1584543160;323703;326;-1;-0.155942;
1584543160;426724;300;-1;-0.167935;
1584543160;523644;221;-1;-0.218918;
1584543160;624063;478;-1;-0.248906;
1584543160;726031;437;-1;-0.245906;
1584543160;823369;362;-1;-0.215918;
1584543160;923305;313;-1;-0.179929;
1584543161;23901;-1;-1;-0.182929;
1584543161;123679;-1;-1;-0.170936;
1584543161;230099;-1;-1;-0.0929649;
1584543161;324087;-1;623;-0;
1584543161;423220;186;592;-0;
1584543161;523282;136;574;-0;
1584543161;624367;53;586;0.0749791;
1584543161;725378;53;609;0.0599851;
1584543161;823435;-1;591;-0;
1584543161;923272;-1;-1;-0;
1584543162;23121;-1;-1;-0;
1584543162;123252;-1;467;-0;
1584543162;225450;152;506;-0;
1584543162;323322;109;531;-0;
1584543162;423001;115;559;-0;
1584543162;523582;53;599;-0;
1584543162;623600;39;642;-0;
1584543162;725145;-1;-1;-0;
1584543162;823317;-1;-1;-0;
1584543162;922881;200;504;-0;
1584543163;22852;192;522;-0;
1584543163;123027;176;528;-0;
1584543163;225186;161;566;-0;
1584543163;322807;140;597;-0;
1584543163;422946;118;638;-0;
1584543163;522727;37;-1;-0;
1584543163;623407;41;-1;-0;
1584543163;725035;-1;513;-0;
1584543163;822699;-1;538;-0;
1584543163;922666;230;562;-0;
1584543164;22820;221;593;-0;
1584543164;125310;218;614;-0;
1584543164;230181;167;-1;-0;
1584543164;323081;203;-1;-0;
1584543164;422577;131;-1;-0;
1584543164;522551;73;551;-0;
1584543164;623376;7;575;-0;
1584543164;724669;237;600;-0.00899288;
1584543164;822515;220;634;-0.0329798;
1584543164;922664;207;663;-0;
1584543165;22455;219;-1;-0;
1584543165;122525;205;-1;-0;
1584543165;224889;177;-1;-0;
1584543165;322466;136;-1;-0;
1584543165;422395;88;-1;-0;
1584543165;522665;3;-1;-0;
1584543165;623109;-1;-1;-0;
1584543165;728985;-1;538;-0;
1584543165;822549;-1;547;-0;
1584543165;922304;-1;558;-0;
1584543166;22267;204;574;-0;
1584543166;122506;247;594;-0;
1584543166;224484;182;620;-0;
1584543166;322485;247;652;-0;
1584543166;422565;137;566;-0;
1584543166;525138;94;585;-0;
