seconds;microseconds;speed;groundsteering;
1584543601;538678;0;0;
1584543602;240532;0.488281;-0;
1584543602;340623;0.549316;-0;
1584543602;438522;0.427246;-0;
1584543602;539485;0.488281;-0;
1584543602;641277;0.366211;-0;
1584543602;737980;0.488281;-0;
1584543602;837932;0.549316;-0;
1584543602;937746;0.488281;-0;
1584543603;37657;0.488281;-0;
1584543603;144095;0.244141;-0;
1584543603;240807;0.732422;-0;
1584543603;337661;0.732422;-0;
1584543603;437809;1.15967;-0;
1584543603;538544;0;-0;
1584543603;639600;0.183105;-0;
1584543603;737793;0.549316;-0;
1584543603;837501;0.0610352;-0;
1584543603;937598;2.86865;-0;
1584543604;40350;2.92969;-0;
1584543604;140075;4.76074;-0;
1584543604;237823;0.915527;-0;
1584543604;337644;0.366211;-0;
1584543604;437705;-3.72314;-0;
1584543604;538070;-7.44629;-0;
1584543604;639546;4.57764;-0;
1584543604;737739;-0.549316;-0;
1584543604;840101;-0.854492;0.0329887;
1584543604;937965;4.94385;0.0809714;
1584543605;37302;15.9912;0.125962;
1584543605;139348;20.4468;0.173945;
1584543605;237422;19.9585;0.0929737;
1584543605;337238;23.1323;0.0779797;
1584543605;437522;19.7144;0.0239958;
1584543605;538240;3.41797;0.0179946;
1584543605;643226;-1.0376;0.0209952;
1584543605;737754;6.04248;0.0209952;
1584543605;837370;2.0752;0.0749791;
1584543605;937452;2.86865;0.083972;
1584543606;37416;11.2915;0.0150029;
1584543606;139769;6.28662;0.00900175;
1584543606;237049;-4.76074;0.0120023;
1584543606;337265;2.01416;0.0569845;
1584543606;439417;10.7422;0.098966;
1584543606;538861;26.6113;0.125962;
1584543606;639140;26.2451;0.125962;
1584543606;737260;25.7568;0.128963;
1584543606;837061;29.3579;0.128963;
1584543606;936887;31.6162;0.128963;
1584543607;37208;34.729;0.128963;
1584543607;139115;35.2783;0.125962;
1584543607;237076;28.1372;0.0809714;
1584543607;337001;27.71;0.0719785;
1584543607;437062;20.813;0.0749791;
1584543607;537436;19.6533;0.0749791;
1584543607;639169;22.3389;0.11396;
1584543607;736785;22.1558;0.11396;
1584543607;836792;30.6396;0.116961;
1584543607;936984;36.3159;0.170945;
1584543608;36719;32.7148;0.140956;
1584543608;138865;58.7769;0.122962;
1584543608;236804;58.7769;0.110968;
1584543608;336699;50.9644;0.0120023;
1584543608;436737;46.5698;-0;
1584543608;537539;5.92041;-0;
1584543608;638886;0.854492;-0;
1584543608;736934;-0.732422;-0;
1584543608;837139;0.183105;-0;
1584543608;936872;-2.62451;-0;
1584543609;36593;-2.74658;-0;
1584543609;139285;1.46484;-0;
1584543609;236462;1.34277;-0;
1584543609;336435;0.488281;-0;
1584543609;436573;4.76074;-0;
1584543609;537050;0.305176;-0;
1584543609;638585;-1.89209;-0;
1584543609;736530;-0.244141;-0;
1584543609;836327;-2.68555;-0;
1584543609;936351;5.37109;-0;
1584543610;36535;3.23486;-0;
1584543610;142650;2.31934;-0;
1584543610;236240;-10.1929;-0;
1584543610;336514;2.31934;-0.0119935;
1584543610;436196;-1.83105;-0.0239869;
1584543610;536843;3.60107;-0.0779708;
1584543610;638469;-20.0195;-0.0779708;
1584543610;736399;-25.8179;-0.119952;
1584543610;836378;-38.269;-0.14994;
1584543610;936345;-43.8843;-0.116952;
1584543611;36135;-43.8843;-0.0419816;
1584543611;138309;-26.7334;-0.0209863;
1584543611;236360;-10.5591;-0;
1584543611;336049;-9.58252;-0;
1584543611;436259;-7.44629;-0;
1584543611;537245;-4.3335;-0;
1584543611;642414;-7.87354;-0;
1584543611;738809;-2.0752;-0;
1584543611;836445;-2.99072;0.0569845;
1584543611;935956;6.89697;0.0569845;
1584543612;36423;9.0332;0.0569845;
1584543612;138286;10.7422;0.0779797;
1584543612;235802;18.5547;0.0779797;
1584543612;335811;23.8037;0.0779797;
1584543612;435952;26.4893;0.0779797;
1584543612;539278;22.7661;0.0629856;
1584543612;638563;19.3481;0.0629856;
1584543612;736107;18.1885;0.0629856;
1584543612;835893;18.4326;0.0629856;
1584543612;936228;21.1792;0.0629856;
1584543613;36198;25.8789;0.0659773;
1584543613;137765;20.6909;0.0659773;
1584543613;236147;25.2686;0.0659773;
1584543613;336228;24.7192;0.0659773;
1584543613;435615;28.9917;0.0659773;
1584543613;536987;26.3672;0.0659773;
1584543613;638647;29.2969;0.0599851;
1584543613;735650;23.9258;0.0599851;
1584543613;835514;17.6392;0.0599851;
1584543613;935676;25.1465;0.0599851;
1584543614;35478;25.1465;0.0629856;
1584543614;137498;24.8413;0.0929737;
1584543614;235969;28.7476;0.0929737;
1584543614;335878;39.0625;0.083972;
1584543614;435684;30.2124;0.0719785;
1584543614;536572;36.377;0.0629856;
1584543614;637577;37.4756;0.0749791;
1584543614;735649;33.8745;0.122962;
1584543614;835899;32.959;0.15295;
1584543614;935364;46.875;0.0689779;
