seconds;microseconds;speed;groundsteering;
1584543401;76709;0;0;
1584543401;276965;0.488281;-0;
1584543401;377276;0.488281;-0;
1584543401;476958;0.427246;-0;
1584543401;580290;0.549316;-0;
1584543401;679196;0.549316;-0;
1584543401;776777;0.488281;-0;
1584543401;876734;0.427246;-0;
1584543401;977398;0.549316;-0.014994;
1584543402;77358;0.427246;-0.014994;
1584543402;179635;0.427246;-0.014994;
1584543402;276515;-2.0752;-0.014994;
1584543402;379030;0.671387;-0.014994;
1584543402;477580;-2.68555;-0.0179858;
1584543402;577043;-0.732422;-0.0179858;
1584543402;678372;-3.54004;-0.0179858;
1584543402;776612;-5.7373;-0.0179858;
1584543402;876520;-0.671387;-0.0179858;
1584543402;976657;-4.69971;-0.014994;
1584543403;76847;-5.85938;-0.014994;
1584543403;178710;-1.64795;-0.0179858;
1584543403;276317;-3.2959;-0.0209863;
1584543403;376436;-6.7749;-0.0209863;
1584543403;476276;-4.82178;-0.0209863;
1584543403;576878;-1.0376;-0.0209863;
1584543403;678345;-5.12695;-0.0209863;
1584543403;776207;-4.08936;-0.0209863;
1584543403;876220;1.40381;-0.0209863;
1584543403;976735;-7.26318;-0.0209863;
1584543404;76539;-11.2915;-0.0209863;
1584543404;178470;-9.70459;-0.0209863;
1584543404;276278;-8.54492;-0.0209863;
1584543404;376139;-10.6201;-0.0209863;
1584543404;476661;-4.21143;-0.0209863;
1584543404;576891;-4.94385;-0.0209863;
1584543404;678060;-8.05664;-0.0209863;
1584543404;776011;-4.39453;-0.0209863;
1584543404;876257;-0.366211;-0.0209863;
1584543404;976332;-6.7749;-0.0209863;
1584543405;75953;-7.62939;-0.0239869;
1584543405;178436;-5.49316;-0.0239869;
1584543405;276125;-9.76562;-0.0359804;
1584543405;376138;-12.3291;-0.0719696;
1584543405;476129;-20.0806;-0.0719696;
1584543405;576852;-26.062;-0.0719696;
1584543405;677652;-23.3765;-0.0719696;
1584543405;776443;-21.6064;-0.0719696;
1584543405;875834;-20.813;-0.0719696;
1584543405;975806;-21.3013;-0.0719696;
1584543406;78633;-19.7754;-0.0719696;
1584543406;177873;-18.5547;-0.0719696;
1584543406;275741;-22.2778;-0.0719696;
1584543406;375897;-20.6299;-0.0719696;
1584543406;475694;-19.5923;-0.116952;
1584543406;576420;-23.2544;-0.116952;
1584543406;677838;-31.7383;-0.116952;
1584543406;775743;-33.2031;-0.164934;
1584543406;878612;-31.9214;-0.179929;
1584543406;976092;-44.1284;-0.179929;
1584543407;75683;-48.5229;-0.218918;
1584543407;177703;-47.2412;-0.251907;
1584543407;275899;-52.4902;-0.191931;
1584543407;375504;-56.3354;-0.173936;
1584543407;475486;-58.3496;-0.176937;
1584543407;576361;-47.4854;-0.155942;
1584543407;682219;-52.6123;-0.0779708;
1584543407;776431;-48.2788;-0;
1584543407;876197;-45.8984;-0;
1584543407;975406;-8.23975;0.0779797;
1584543408;75420;-8.8501;0.188939;
1584543408;177772;34.6069;-0;
1584543408;275465;69.7021;-0;
1584543408;375575;6.16455;-0;
1584543408;478606;-4.27246;-0;
1584543408;576173;-4.76074;-0;
1584543408;677866;-2.13623;-0;
1584543408;775854;5.37109;-0;
1584543408;875259;2.44141;-0;
1584543408;975594;2.80762;-0.161934;
1584543409;75385;-0.183105;-0;
1584543409;178080;-43.0298;-0;
1584543409;275443;-18.4937;-0;
1584543409;375620;-11.8408;-0;
1584543409;475361;-7.44629;-0;
1584543409;575990;-4.15039;-0;
1584543409;677523;-4.82178;-0.107959;
1584543409;775656;-6.71387;-0;
1584543409;875065;-35.2783;-0;
1584543409;975452;-8.54492;-0;
1584543410;75068;-7.56836;0.0239958;
1584543410;177435;-5.61523;0.290888;
1584543410;275152;28.8696;0.290888;
1584543410;374967;59.4482;-0;
1584543410;474931;71.5942;-0;
1584543410;575782;6.46973;-0;
1584543410;680626;-1.40381;-0.236913;
1584543410;775289;0;-0;
1584543410;875151;-48.1567;-0;
1584543410;974928;-14.8315;-0;
1584543411;75099;-7.44629;-0;
1584543411;177277;-9.27734;0.290888;
1584543411;274771;10.0708;-0;
1584543411;374794;43.5181;-0;
1584543411;478069;7.14111;-0;
1584543411;575721;2.56348;-0;
1584543411;676912;0.671387;-0;
1584543411;774848;3.23486;-0;
1584543411;874816;5.12695;-0;
1584543411;974741;0.671387;-0;
1584543412;74815;4.57764;-0.14994;
1584543412;176921;-10.0098;-0;
1584543412;278250;-48.7671;-0;
1584543412;376105;-14.8315;-0;
1584543412;474791;-8.78906;-0;
1584543412;575197;-10.9253;-0;
1584543412;677057;-5.67627;-0;
1584543412;774711;-6.83594;-0;
1584543412;875452;-3.35693;-0;
1584543412;974843;-4.08936;-0;
1584543413;74816;-10.5591;-0;
1584543413;176729;-4.45557;-0.0899643;
1584543413;274819;-7.62939;-0;
1584543413;374646;-27.0996;-0;
1584543413;474447;-6.46973;-0;
1584543413;575337;-8.23975;-0.0719696;
1584543413;677049;-6.04248;-0.152941;
1584543413;774675;-30.1514;-0.206925;
1584543413;874615;-45.8374;-0.206925;
1584543413;974257;-53.4058;-0.203924;
1584543414;74504;-54.3213;-0.203924;
1584543414;177091;-53.4668;-0.203924;
1584543414;274210;-52.6733;-0.203924;
1584543414;374196;-57.6172;-0.200924;
1584543414;474602;-54.1992;-0.200924;
1584543414;574815;-59.3262;-0.200924;
1584543414;676219;-50.2319;-0.200924;
1584543414;774528;-53.5278;-0.191931;
1584543414;874308;-54.1992;-0.191931;
1584543414;974031;-52.4902;-0;
1584543415;74286;-25.0854;-0;
1584543415;176123;-9.46045;-0;
1584543415;273964;-2.01416;-0;
1584543415;374124;-10.9863;-0;
1584543415;473957;2.92969;-0;
1584543415;574750;-8.8501;-0;
1584543415;676197;-3.60107;-0;
1584543415;773836;-8.11768;-0;
1584543415;873822;-7.01904;-0;
1584543415;977202;-2.31934;-0;
1584543416;74025;-5.43213;0.158951;
1584543416;176059;44.4336;-0;
1584543416;273943;2.80762;-0;
1584543416;373731;1.46484;-0;
1584543416;473708;-2.68555;-0;
1584543416;574534;-1.2207;-0;
1584543416;675775;1.58691;-0;
1584543416;773656;0.488281;-0;
1584543416;873958;3.66211;-0;
1584543416;973617;0.671387;-0;
1584543417;73614;-1.09863;-0;
1584543417;175880;2.68555;-0.197923;
1584543417;273574;-11.1694;-0;
1584543417;373618;-44.0063;-0;
1584543417;476942;-11.0474;-0;
1584543417;574548;-6.7749;-0;
1584543417;675682;-6.46973;-0;
1584543417;773782;-8.48389;0.290888;
1584543417;874101;-10.8032;-0;
1584543417;973676;52.9175;-0;
1584543418;73675;4.88281;-0;
1584543418;175615;3.60107;-0;
1584543418;273404;2.01416;-0.209925;
1584543418;373627;-10.9253;-0;
1584543418;473828;-48.5229;-0;
1584543418;574252;-7.87354;-0;
1584543418;675835;-7.08008;-0;
1584543418;773323;-11.5967;-0;
1584543418;873318;-5.7373;-0.00599229;
1584543418;975926;-7.99561;-0;
1584543419;73817;-3.90625;-0;
1584543419;175414;-3.17383;-0.00599229;
1584543419;273527;-2.92969;-0.00899288;
1584543419;373214;-11.3525;-0.0629768;
1584543419;473205;-9.46045;-0.128954;
1584543419;574004;-34.4849;-0.110959;
1584543419;675211;-42.8467;-0.104958;
1584543419;773196;-40.9546;-0.0929649;
1584543419;874048;-39.4897;-0.0899643;
1584543419;973432;-34.668;-0.0899643;
1584543420;73430;-33.9966;-0.0899643;
1584543420;175612;-37.5366;-0.0929649;
1584543420;273264;-33.3252;-0.0719696;
1584543420;373130;-34.3018;-0;
1584543420;475760;-24.1089;-0;
1584543420;573917;-9.58252;-0;
1584543420;675032;-5.24902;-0;
1584543420;773153;-6.46973;-0.0869637;
1584543420;872995;-23.3765;-0.239914;
1584543420;972909;-28.0151;-0.014994;
1584543421;73099;-49.6826;-0;
1584543421;174944;-8.78906;-0;
1584543421;275457;2.19727;-0.119952;
1584543421;373385;-23.0103;-0.116952;
1584543421;473269;-31.8604;-0.116952;
1584543421;573703;-39.2456;-0.116952;
1584543421;675393;-36.6821;-0.116952;
1584543421;772792;-35.2173;-0.116952;
1584543421;872800;-39.6118;-0.116952;
1584543421;972963;-35.8276;-0.113951;
1584543422;72722;-37.6587;-0.110959;
1584543422;174397;-35.5225;-0.110959;
1584543422;272896;-36.6821;-0.0929649;
1584543422;372679;-39.0625;-0.0659685;
1584543422;472858;-35.5225;-0;
1584543422;573576;-26.9165;-0;
1584543422;674338;-9.8877;-0;
1584543422;772627;-4.94385;-0;
1584543422;872780;-7.50732;-0.122953;
1584543422;972877;-9.27734;-0;
1584543423;72677;-19.4092;-0;
1584543423;175106;-10.9253;-0.00599229;
1584543423;272866;-7.26318;-0.215918;
1584543423;372525;-10.8032;-0;
1584543423;472857;-50.1099;-0;
1584543423;576348;-12.7563;-0;
1584543423;674489;-11.6577;-0;
1584543423;772772;-15.9302;-0;
1584543423;872496;-11.7798;-0;
1584543423;972388;-4.39453;-0;
1584543424;72567;-4.82178;-0;
1584543424;175115;-8.11768;-0;
1584543424;272562;-10.9863;-0;
1584543424;375038;-12.3291;-0;
1584543424;472298;-1.15967;-0;
1584543424;573146;-5.31006;-0;
1584543424;674225;-4.3335;0.0509833;
1584543424;772782;6.22559;0.0659773;
1584543424;872598;14.6484;0.0749791;
1584543424;972384;26.8555;0.0929737;
1584543425;72155;21.4233;0.0869726;
1584543425;173901;27.5269;0.0689779;
1584543425;272538;23.8037;0.0689779;
1584543425;372589;23.4375;0.0689779;
1584543425;472068;17.334;0.0689779;
1584543425;572869;20.3857;0.0689779;
1584543425;673725;26.062;0.0689779;
1584543425;772051;26.3672;0.0689779;
1584543425;872764;21.8506;0.0689779;
1584543425;971966;25.2686;0.0719785;
1584543426;72338;25.2686;0.0689779;
1584543426;173748;27.6489;0.0689779;
1584543426;271980;27.71;0.0719785;
1584543426;371884;28.3203;0.0689779;
1584543426;472161;30.0293;-0;
1584543426;572621;24.5972;-0.0479827;
1584543426;673498;6.22559;-0.14694;
1584543426;772283;-13.0005;-0.134946;
1584543426;871976;-34.8511;-0.128954;
1584543426;972452;-43.8843;-0.128954;
1584543427;71949;-42.3584;-0.128954;
1584543427;173790;-47.4243;-0.128954;
1584543427;275665;-43.9453;-0.107959;
1584543427;372201;-46.3867;-0.104958;
1584543427;471993;-39.4897;-0.104958;
1584543427;572353;-40.5884;-0.104958;
1584543427;673668;-42.7246;-0.104958;
1584543427;771687;-39.1235;-0.0959654;
1584543427;871849;-39.4287;-0;
1584543427;972033;-11.1084;-0;
1584543428;71643;-4.08936;-0;
1584543428;173468;-2.86865;-0;
1584543428;271716;-2.74658;-0.0929649;
1584543428;372046;-24.7803;-0.0929649;
1584543428;471706;-27.0386;-0.0929649;
1584543428;572332;-30.5786;-0.0929649;
1584543428;673479;-33.5083;-0.125954;
1584543428;771892;-35.9497;-0.191931;
1584543428;871687;-52.6733;-0.287896;
1584543428;972102;-47.7295;-0.290888;
1584543429;72166;-59.082;-0.173936;
1584543429;173799;-53.1006;-0;
