seconds;microseconds;speed;groundsteering;
1584543043;346066;0;0;
1584543044;145938;0.549316;-0;
1584543044;248348;1.58691;-0;
1584543044;349014;1.70898;-0;
1584543044;445909;3.11279;-0;
1584543044;545830;-1.28174;-0;
1584543044;646957;-0.732422;-0;
1584543044;747818;1.0376;-0;
1584543044;845795;3.90625;-0;
1584543044;945957;1.34277;-0;
1584543045;46597;2.31934;-0;
1584543045;149389;2.56348;-0;
1584543045;247983;-0.244141;-0;
1584543045;345771;3.479;-0;
1584543045;445692;3.78418;-0;
1584543045;545908;-0.305176;0.0509833;
1584543045;646290;7.50732;0.0779797;
1584543045;747715;11.9629;0.0629856;
1584543045;845870;16.6626;0.0629856;
1584543045;945571;13.7329;0.0599851;
1584543046;45592;14.8315;0.0599851;
1584543046;146053;18.0664;0.0629856;
1584543046;247654;16.1133;0.0599851;
1584543046;345494;19.5312;0.0629856;
1584543046;445878;20.0195;0.0599851;
1584543046;545911;18.5547;0.0629856;
1584543046;649756;19.2261;0.0629856;
1584543046;747832;15.686;0.0629856;
1584543046;845697;15.8691;0.0629856;
1584543046;945551;26.7334;0.0809714;
1584543047;45621;22.7661;0.0959743;
1584543047;145330;27.9541;0.0929737;
1584543047;247562;24.6582;0.0959743;
1584543047;345745;26.7944;0.116961;
1584543047;448977;39.0625;0.137956;
1584543047;545844;44.6777;0.0719785;
1584543047;646347;46.875;0.0629856;
1584543047;747604;21.6064;0.0629856;
1584543047;845561;21.8506;0.0629856;
1584543047;945544;25.0244;0.134955;
1584543048;45230;41.0156;0.134955;
1584543048;145195;43.335;0.134955;
1584543048;252226;48.0957;0.134955;
1584543048;345883;46.3257;0.131955;
1584543048;445385;52.2461;0.131955;
1584543048;545503;53.6499;0.134955;
1584543048;645857;50.8423;0.134955;
1584543048;747544;43.2739;0.0599851;
1584543048;845223;24.4751;-0;
1584543048;945060;13.855;-0.287896;
1584543049;45391;-24.5361;-0;
1584543049;145130;-29.7852;-0;
1584543049;247735;-2.80762;-0;
