seconds;microseconds;speed;groundsteering;
1584543153;26567;0.366211;0;
1584543153;527171;0.427246;-0;
1584543153;627059;0.183105;-0;
1584543153;726937;0.366211;-0;
1584543153;824849;0.549316;-0;
1584543153;924685;0.488281;-0;
1584543154;24633;0.427246;0.0749791;
1584543154;125140;0.732422;0.0749791;
1584543154;226883;0.488281;0.0659773;
1584543154;324615;0.427246;0.0659773;
1584543154;427245;0.366211;0.0629856;
1584543154;524661;0.488281;0.0659773;
1584543154;625490;0.549316;0.0659773;
1584543154;726542;0.549316;0.0659773;
1584543154;824699;0.305176;0.0659773;
1584543154;924791;2.80762;0.0659773;
1584543155;24622;1.40381;0.0659773;
1584543155;124660;5.24902;0.0659773;
1584543155;230154;7.14111;0.0659773;
1584543155;324559;5.49316;0.0659773;
1584543155;424526;9.70459;0.0239958;
1584543155;524320;2.80762;-0;
1584543155;625483;4.3335;-0;
1584543155;726937;1.0376;-0;
1584543155;824256;3.479;-0;
1584543155;924467;4.02832;-0;
1584543156;27088;4.3335;-0;
1584543156;124496;5.5542;-0;
1584543156;226583;0.732422;-0;
1584543156;324612;0.12207;-0;
1584543156;425245;2.44141;-0;
1584543156;524355;5.12695;-0;
1584543156;624896;1.64795;-0;
1584543156;726057;2.92969;-0;
1584543156;827240;2.44141;-0;
1584543156;924110;5.12695;-0;
1584543157;24046;6.46973;-0;
1584543157;124190;5.61523;-0;
1584543157;225964;6.16455;-0;
1584543157;323968;3.23486;-0;
1584543157;424131;-2.0752;-0;
1584543157;523936;-2.0752;-0;
1584543157;624792;0.854492;-0;
1584543157;726186;1.46484;-0;
1584543157;823950;2.0752;-0;
1584543157;923955;4.27246;-0;
1584543158;24150;4.08936;-0;
1584543158;123962;4.94385;-0.0329798;
1584543158;225965;-0.915527;-0.0809625;
1584543158;324029;-20.9961;-0.0809625;
1584543158;423960;-25.1465;-0.0809625;
1584543158;523887;-21.3013;-0.0809625;
1584543158;625049;-27.2217;-0.0809625;
1584543158;725863;-26.1841;-0.0809625;
1584543158;823937;-24.5361;-0.0809625;
1584543158;923935;-26.4893;-0.0809625;
1584543159;23732;-23.8037;-0.0809625;
1584543159;123900;-28.9917;-0.0809625;
1584543159;226086;-19.6533;-0.0809625;
1584543159;323608;-21.4233;-0.0779708;
1584543159;424094;-15.3198;-0.0809625;
1584543159;523941;-17.1509;-0.0809625;
1584543159;624597;-17.6392;-0.0899643;
1584543159;725498;-17.334;-0.0899643;
1584543159;823916;-23.6206;-0.0929649;
1584543159;923893;-14.7705;-0.0989571;
1584543160;23702;-18.6768;-0.0989571;
1584543160;123880;-21.4844;-0.113951;
1584543160;225528;-27.4658;-0.152941;
1584543160;323703;-37.7808;-0.155942;
1584543160;426724;-47.6685;-0.167935;
1584543160;523644;-47.6685;-0.218918;
1584543160;624063;-45.8984;-0.248906;
1584543160;726031;-48.0957;-0.245906;
1584543160;823369;-47.3022;-0.215918;
1584543160;923305;-50.9033;-0.179929;
1584543161;23901;-42.7856;-0.182929;
1584543161;123679;-45.9595;-0.170936;
1584543161;230099;-46.0815;-0.0929649;
1584543161;324087;-35.7666;-0;
1584543161;423220;-14.7095;-0;
1584543161;523282;-12.8784;-0;
1584543161;624367;-11.1084;0.0749791;
1584543161;725378;13.4277;0.0599851;
1584543161;823435;23.1323;-0;
1584543161;923272;7.50732;-0;
1584543162;23121;0.488281;-0;
1584543162;123252;2.92969;-0;
1584543162;225450;9.39941;-0;
1584543162;323322;-2.44141;-0;
1584543162;423001;7.50732;-0;
1584543162;523582;2.86865;-0;
1584543162;623600;5.12695;-0;
1584543162;725145;3.60107;-0;
1584543162;823317;1.70898;-0;
1584543162;922881;-2.01416;-0;
1584543163;22852;-3.60107;-0;
1584543163;123027;-1.46484;-0;
1584543163;225186;5.79834;-0;
1584543163;322807;2.01416;-0;
1584543163;422946;0.549316;-0;
1584543163;522727;2.92969;-0;
1584543163;623407;4.88281;-0;
1584543163;725035;1.83105;-0;
1584543163;822699;0.12207;-0;
1584543163;922666;1.09863;-0;
1584543164;22820;-0.183105;-0;
1584543164;125310;4.69971;-0;
1584543164;230181;5.43213;-0;
1584543164;323081;8.48389;-0;
1584543164;422577;6.04248;-0;
1584543164;522551;2.68555;-0;
1584543164;623376;0.671387;-0;
1584543164;724669;2.80762;-0.00899288;
1584543164;822515;-3.60107;-0.0329798;
1584543164;922664;-2.13623;-0;
1584543165;22455;-9.70459;-0;
1584543165;122525;-0.305176;-0;
1584543165;224889;-1.09863;-0;
1584543165;322466;-3.479;-0;
1584543165;422395;-2.92969;-0;
1584543165;522665;-2.92969;-0;
1584543165;623109;-1.58691;-0;
1584543165;728985;0.671387;-0;
1584543165;822549;-3.479;-0;
1584543165;922304;-1.40381;-0;
1584543166;22267;-0.427246;-0;
1584543166;122506;4.02832;-0;
1584543166;224484;-3.60107;-0;
1584543166;322485;0.183105;-0;
1584543166;422565;-3.2959;-0;
1584543166;525138;-0.976562;-0;
1584543166;626262;-3.23486;-0;
1584543166;725755;-6.40869;-0.0239869;
1584543166;822204;-12.7563;-0;
1584543166;922442;-7.08008;-0;
1584543167;22669;-6.7749;-0;
1584543167;122301;-3.66211;-0;
1584543167;224209;-2.0752;-0;
1584543167;322854;-0.610352;-0;
1584543167;422067;-0.366211;-0;
1584543167;522071;-2.68555;-0.00299171;
1584543167;622945;-2.68555;-0.137947;
1584543167;725298;-18.3105;-0.131946;
1584543167;822154;-33.9355;-0.131946;
1584543167;922114;-35.5835;-0.131946;
1584543168;21936;-32.8369;-0.131946;
